Order , Size , Ingestion Rate , Ingestion CPU Time , Computation CPU time
313214 , 1010000 , 2809635.750000 , 0.003559 , 2.030162
314141 , 1020000 , 839752.500000 , 0.011908 , 0.239648
315061 , 1030000 , 1427493.125000 , 0.007005 , 0.265301
315962 , 1040000 , 1000190.062500 , 0.009998 , 0.255581
316898 , 1050000 , 1247440.875000 , 0.008016 , 0.249677
317782 , 1060000 , 1468533.375000 , 0.006810 , 0.253863
318640 , 1070000 , 1504514.625000 , 0.006647 , 0.243647
319467 , 1080000 , 1472505.500000 , 0.006791 , 0.252875
320321 , 1090000 , 1395320.000000 , 0.007167 , 0.251628
321210 , 1100000 , 1508102.875000 , 0.006631 , 0.255877
321210 , 1100001 , 4095.523926 , 0.000244 , 0.000063
